topic_id,term,weight
0,다른,57.22279241926076
0,업데이트,42.04601761281412
0,친구,37.433633344182844
0,카카오톡은,34.50027706416795
0,기능이,34.4809262242476
0,같습니다,32.450929886202964
0,이렇게,31.58008348100566
0,카톡,28.095546612320522
0,정말,27.880596344985282
0,다시,26.929103560476495
0,제가,25.73083497474615
0,카카오톡,25.555962447512695
0,업데이트를,25.31456663932935
0,합니다,25.040024043596272
0,인스타,24.204087948150836
0,있는,23.20489535926542
0,이번_업데이트,23.044610104688182
0,카톡을,22.870136824952418
0,없는,22.46576331526971
0,굳이,22.216509461735402
1,업데이트,93.13162317460917
1,진짜,59.682088848100264
1,프로필,55.757343833732016
1,그냥,49.330264547966344
1,숏폼,36.54611016037451
1,정말,35.831979144145514
1,제발,35.6752576560466
1,다른,35.0447581842126
1,이런,33.11089585636852
1,카톡,32.773774221097945
1,너무,32.14542922064846
1,강제로,30.658982221771975
1,이건,27.295363172904064
1,있게,26.514503138977055
1,무슨,26.315205789047358
1,사진,26.301025802498916
1,친구목록,26.28270928451902
1,이렇게,25.90564103631577
1,광고,25.780524024531086
1,다시,25.307000738079637
2,진짜,68.17541868110827
2,업데이트,57.74637859983755
2,광고,48.70737648161196
2,업뎃,48.55109554430421
2,친구,48.15198941000495
2,이렇게,39.10876759130802
2,사진,36.09033177302584
2,그냥,34.09065089772288
2,카톡이,29.37437716028957
2,많이,27.716530886398594
2,내가,25.648839146812126
2,이런,25.20615778851315
2,아니,24.491670287106622
2,다시,21.855753677161463
2,누가,21.726061408029217
2,카톡을,20.25874008316402
2,원래대로,19.095781071994463
2,어떻게,19.054877873577134
2,인스타,18.86676875317049
2,설정,18.688491847751653
3,너무,273.64358049789547
3,카톡,202.4466711973692
3,진짜,198.69539216012907
3,업데이트,161.8198860789726
3,숏폼,153.7864514415734
3,다시,97.86726464001458
3,그리고,95.30051739725914
3,그냥,92.74179384883924
3,인스타,86.89731996276268
3,프로필,85.71823414243684
3,제발,85.54940606530027
3,이렇게,72.49312409301767
3,친구목록,72.07457197311672
3,카카오톡,65.35844353775389
3,정말,64.31548564731965
3,카톡이,62.371703095320974
3,카톡을,59.43487384338023
3,다른,59.176946777584774
3,차라리,58.22367942270211
3,카톡은,57.337974805073216
4,진짜,120.91667993953953
4,그리고,72.739290994426
4,굳이,68.32892143548405
4,카톡,67.64943408878001
4,광고,55.27386377671314
4,많이,52.87105604272969
4,그냥,45.73596040441507
4,이게,42.500235956478164
4,너무,42.28983468598967
4,업데이트,40.63659098941707
4,점점,39.90240086912614
4,숏폼,39.23838321033071
4,프로필,38.900341812760075
4,다른,37.135753413445194
4,하고,35.89800206011834
4,이런,35.81877803980634
4,이번_업데이트는,33.93942635488378
4,업데이트를,33.29457798567048
4,그렇게,32.502389797279314
4,카카오톡,32.30070909048034
5,업데이트,166.9326783629299
5,정말,120.34124929801246
5,카톡,113.31010728707864
5,다른,111.72726435418028
5,하고,99.98705244935645
5,너무,85.42161425677054
5,업데이트를,68.37599410941958
5,이런,68.18577427092325
5,이렇게,67.4362363981974
5,하는,66.22200701751306
5,카톡은,65.03960796034963
5,카카오톡,63.04209586627499
5,카카오톡을,57.53383750780949
5,이번_업데이트,56.24145637516198
5,있습니다,54.81352632664316
5,합니다,54.51289800623312
5,바랍니다,54.46558124422643
5,것도,49.76471756343243
5,때문에,49.01733791429102
5,있는,48.646641985628854
6,진짜,90.55029393811553
6,너무,90.47883918807841
6,숏폼,73.9999661081708
6,인스타,61.27276747107312
6,업데이트,49.59062249202282
6,카톡,49.38719134262989
6,그냥,48.05009066901144
6,크게,41.06982777100802
6,같습니다,39.105952594449136
6,따로,38.56993787751035
6,많이,35.4947873010072
6,이번_업데이트,35.02008045868002
6,불편합니다,34.446900271715364
6,친구,32.60885314218655
6,내가,32.52974902408671
6,이번_업데이트는,31.41622812301585
6,다시,30.58544020519241
6,계속,29.682594369842366
6,이미,29.335927231842653
6,굳이,28.773411952732083
7,업데이트,158.09620268937581
7,진짜,123.39757255511688
7,정말,102.30362981901969
7,그냥,86.07388834900208
7,그리고,63.98423680544198
7,다시,63.2991713898899
7,업데이트를,62.37113083073126
7,강제로,61.154152189698905
7,이게,60.77293023333119
7,바랍니다,60.7268274240661
7,이렇게,55.233215450061174
7,굳이,55.029339211972896
7,이런,52.105771411507135
7,사용자,49.716591812309396
7,내가,49.307732390851164
7,인스타,48.909640197835024
7,이거,47.53991600787883
7,쓰는_이에,45.78741794597065
7,너무,44.82088030692885
7,업뎃,43.25691728346623
