topic_id,term,weight
0,진짜,0.004951236202803023
0,업데이트,0.004892949211228627
0,다른,0.004065857581568356
0,너무,0.003520537698649903
0,카톡,0.003180364692978352
0,그냥,0.002865656579909671
0,업데이트를,0.002577033877402403
0,굳이,0.0025617023477241246
0,숏폼,0.0022463023189018376
0,그리고,0.0019947289963496285
0,이렇게,0.001990332032574327
0,이런,0.0018653194033123037
0,하고,0.001761389490402204
0,불편하고,0.0016584871759940274
0,같아요,0.0016057314986121906
0,카카오톡,0.0015888039991581835
0,프로필,0.001572413410486135
0,다시,0.0015586903356353831
0,아니고,0.0015475349142526093
0,이번_업데이트,0.0015330674291111064
1,진짜,0.0036764188515473794
1,업데이트,0.003594150073498064
1,카톡,0.0024093609951785105
1,정말,0.0023800831103487213
1,인스타,0.0023168151907000814
1,그냥,0.002299126008927115
1,하고,0.0021283596568060755
1,다시,0.002123926592137254
1,다른,0.001954633368319661
1,많이,0.0018703536849109484
1,너무,0.001820235319894741
1,기능을,0.001818498414469322
1,카카오톡,0.0016966587589347625
1,같습니다,0.0016905114050121902
1,계속,0.0016789452548712583
1,업데이트를,0.0016598681376896365
1,굳이,0.0016510969158229879
1,이렇게,0.0016125634332116012
1,있는데,0.001585371752182978
1,이번_업데이트,0.0014870683131664934
2,업데이트,0.005829720193493813
2,너무,0.004609091014688232
2,그냥,0.00265096697756814
2,진짜,0.002585901581077175
2,정말,0.0023824318422877074
2,다른,0.0023698148725763745
2,카톡,0.002351290589327384
2,이렇게,0.0022375517652650444
2,업뎃,0.0022197059405372316
2,다시,0.002091526542884276
2,그리고,0.0019902926334068407
2,광고,0.0017827985244436516
2,강제로,0.0017143805819284444
2,카톡이,0.0016805676829185956
2,친구,0.0016747419845466488
2,숏폼,0.0016151696695515865
2,카톡을,0.0015787683895202745
2,인스타,0.0015343047239121431
2,이건,0.001522360864467123
2,업데이트를,0.001482876793557111
3,업데이트,0.004753738739327534
3,진짜,0.0043603833855423105
3,카톡,0.0027587831324114007
3,프로필,0.002529318540023061
3,너무,0.002024375841790944
3,업데이트를,0.0018445311817582842
3,친구,0.0017436765150235882
3,이렇게,0.0016604969524935198
3,사람들,0.0016593257048257647
3,사진,0.001656252540854594
3,다시,0.001525223652379828
3,카카오톡,0.0013696087147503147
3,어떻게,0.00134228398740098
3,강제로,0.0013321793147832782
3,친구목록,0.001299037505430723
3,다른,0.0012752705441874863
3,하는,0.0012409472672394984
3,카톡이,0.0011981785230090914
3,굳이,0.001180907222582824
3,그냥,0.001134910573642604
4,진짜,0.004325455645974653
4,너무,0.0036094400800001487
4,숏폼,0.0035765594225795564
4,그냥,0.0033254843034622476
4,카톡,0.002984330591733912
4,업데이트,0.0028652373697355235
4,친구,0.0027384881385636014
4,다른,0.0025518460498927652
4,이렇게,0.0025272709754229823
4,이번_업데이트,0.0021138121788665722
4,정말,0.0019631741550082005
4,이런,0.0019187121171315572
4,그리고,0.0018851800084328167
4,카카오톡,0.0018123391782998814
4,굳이,0.001740571342616573
4,제발,0.0016966568148319362
4,인스타,0.0016830979674916193
4,합니다,0.0015886245995538587
4,광고,0.001585368770697741
4,기능,0.0015583314556987396
5,너무,0.005154619681203279
5,업데이트,0.0046141947200312025
5,카톡,0.00444744239040654
5,진짜,0.003556079356500246
5,다시,0.002361075466259192
5,숏폼,0.0023571962363768454
5,프로필,0.002117075033070244
5,그리고,0.00207056881171487
5,그냥,0.0019875574635198367
5,이렇게,0.0018096524319328343
5,바로,0.001649345120323787
5,내가,0.0014604136640291362
5,카카오톡,0.0014564300793749937
5,메신저,0.0014148400325791103
5,갑자기,0.0013973078898170312
5,정말,0.001377985998821578
5,광고,0.0013664099144047696
5,다른,0.0012983291099105438
5,계속,0.0012906088305912782
5,무슨,0.0012732002633139964
6,진짜,0.003856841533613202
6,너무,0.0029287433662995715
6,숏폼,0.002682338988155354
6,업데이트,0.002560893708332656
6,프로필,0.0025526495403906157
6,정말,0.002491796829623057
6,카톡,0.0024707569774587417
6,인스타,0.0021702140417402135
6,이런,0.001970600217341726
6,그리고,0.00186477100074885
6,카톡을,0.0017306475809916158
6,제발,0.0017013629031319315
6,그냥,0.001639597690416278
6,내가,0.001494649091773748
6,이렇게,0.0014732550344894327
6,하고,0.0014385838120271406
6,업뎃,0.0013775657004283684
6,다시,0.0013655312152195535
6,강제로,0.001359977015535013
6,사진,0.0012858122041173304
7,업데이트,0.004880264253729113
7,진짜,0.003732760473791396
7,카톡,0.003410882580896691
7,정말,0.0033429753653302407
7,너무,0.002715815664239158
7,그리고,0.002344282627990207
7,다시,0.002159532254529858
7,하는,0.0021594585296366873
7,숏폼,0.001975891072191572
7,메신저,0.001967311913199476
7,이번_업데이트는,0.001901262333879168
7,카톡은,0.001847665506015308
7,이렇게,0.0018123514946135027
7,업데이트를,0.0017211836198873832
7,이게,0.0017159110194300297
7,업데이트가,0.0017082260077472045
7,있는,0.0016781841583728566
7,제발,0.00165160327718806
7,그냥,0.0016442776642784185
7,인스타,0.0016140402512407868
