topic0,topic1,topic2,topic3,topic4,topic5,topic6,topic7
0.001625112920558311,0.001625471610964423,0.0016256518558886463,0.0016251704994431095,0.001625097919457675,0.001625033579256806,0.8607161276981685,0.12953233391626243
0.005688417005758733,0.0056879757347930845,0.005686012387205562,0.005687436699752704,0.0056890021052081186,0.005687169965712236,0.005690138396954068,0.9601838477046154
0.0035741375692964106,0.003573905774684079,0.003574532976471721,0.003574221676781183,0.0035747105672923082,0.003573260312748335,0.003575289685459102,0.9749799414372669
0.9749798034804327,0.0035751114328272165,0.00357431289317456,0.0035737590689592447,0.003574247027768368,0.003574739392771373,0.003573380135724628,0.0035746465683418453
0.002317088832052231,0.002316287713033485,0.0023167826628918793,0.002316183314514549,0.9837836799551914,0.002316480323116074,0.002316495317503025,0.0023170018816972677
0.002157426707253097,0.0021569161032118705,0.002157016206348202,0.002156774811794675,0.0021568734919551885,0.9849008399827992,0.0021570162195039145,0.0021571364771338446
0.0050049101011408826,0.005004570127309999,0.005004758489781905,0.9649681611695144,0.005004538653106424,0.005004123257782618,0.005003874727180563,0.005005063474183058
0.001713992037601076,0.0017139461204541421,0.0017140255708804316,0.0017135941422030637,0.0017142069494990523,0.001713901208780577,0.0017139710748081674,0.9880023628957734
0.002502039657778881,0.002501833680889795,0.00250177874669085,0.9824861375720325,0.002501967124545833,0.0025019464541766734,0.002502272209923413,0.0025020245539621065
0.0018406104782040824,0.0018402891003776196,0.9871156088791169,0.0018402481675398779,0.0018406015147841872,0.0018407566869434778,0.001840421050682971,0.0018414641223509342
0.004468603911573136,0.004469819410993786,0.968714978150306,0.004467725575924037,0.004469755562558641,0.004470103283650028,0.004468781618931494,0.004470232486062889
0.004816165410429915,0.00481440264544708,0.004817221199981104,0.004814920624972774,0.004812868967321426,0.004816051022474495,0.9662928397243158,0.004815530405057389
0.0031291934483004638,0.0031281301232778565,0.0031278145483870103,0.00312755212597442,0.0031298269452375684,0.0031289684184115005,0.0031288443766084085,0.9780996700138026
0.0028425674806443614,0.9801008967365863,0.002842342996887596,0.002843079573362235,0.002842409580698398,0.002842692070166583,0.0028425189398906376,0.0028434926217638825
0.006253542345290645,0.006256298638135388,0.006253001159895882,0.006253586697825198,0.006252686113057346,0.006254506664350318,0.9562213175355754,0.006255060845869868
0.002158058035977653,0.9848961792074822,0.0021578869202035027,0.002157527860311785,0.002157486075279276,0.002157324387411853,0.002157674764589266,0.002157862748744419
0.0015637974083245667,0.0015637973786536187,0.0015637661687916637,0.0015635426747511612,0.0015638851208185556,0.0015648568514013178,0.0015638632020714774,0.9890524911951877
0.004037437077746456,0.0040369216377579035,0.004039924706942189,0.004035515643162464,0.004037422057414066,0.004036352663986745,0.0040376766696121206,0.971738749543378
0.003910040885189192,0.003910620996911893,0.0039104513980005515,0.003909932510538163,0.0039098178709347665,0.003911012685016414,0.9726278608585224,0.003910262794886548
0.0024530980461670263,0.0024524659091500465,0.002452831087812271,0.0024525501683985524,0.002452901677262425,0.9828301448163669,0.002452647927442621,0.0024533603674002603
0.9805335185465478,0.0027809881354891324,0.002781516761677659,0.002780129881231111,0.002781089090072047,0.002780627919921635,0.002780483791796223,0.0027816458732643017
0.002317642930347539,0.9837826646804411,0.002316352024920466,0.0023165136763181183,0.002316603235268706,0.0023167337168668424,0.002316264369293271,0.0023172253665440087
0.0019856447812495507,0.001986037762359946,0.0019862775494024474,0.001985782478281985,0.0019859750688519763,0.9860986862768361,0.00198574161261672,0.0019858544704012934
0.002405940299222151,0.002405944363669422,0.9831615288079565,0.0024058814462870172,0.0024051644252132383,0.0024053279974363792,0.0024047095280885634,0.0024055031321268587
0.0034742638076120276,0.0034745467561026304,0.003475555574016849,0.0034742817028063726,0.003474199818577064,0.003474763997189119,0.00347383149224005,0.9756785568514559
0.9687197789422268,0.004468584300091792,0.004469645327564938,0.004467815500147184,0.0044682714507151685,0.0044683248132058925,0.004468114780091516,0.004469464885956682
0.003050491733166593,0.0030502078135344877,0.003051653689183258,0.0030511624995414235,0.0030509204666957133,0.9786434955132652,0.003050628360835155,0.0030514399237780566
0.0026081538930178808,0.002608702503248651,0.002608133920364164,0.002607160491227749,0.0026070804592120637,0.0026083041321406345,0.002607119416405642,0.9817453451843833
0.9717516974301414,0.004037776262475673,0.004034946956596916,0.004034463914634845,0.004035189635704926,0.0040349612047191384,0.0040351218136707055,0.004035842782056318
0.0020850688290193447,0.002085821722036606,0.002085457269349528,0.0020853194499586758,0.0020857206578498056,0.0020852079115350093,0.002085935074856997,0.985401469085394
0.006582679439405656,0.006581479193383423,0.006583117508568433,0.006581125325019406,0.9539194632282822,0.006583573583195427,0.006584867315630158,0.006583694406515239
0.005441295964090083,0.961888043435615,0.005446261869494404,0.005445323828950344,0.005449351158085041,0.005443013138910084,0.005441311942375941,0.005445398662479189
0.0027190936757985223,0.002719501663140691,0.002720018656985068,0.0027187866888166183,0.9809644546747428,0.0027187493489503767,0.0027198530779230503,0.002719542213642874
0.00521601930816306,0.00521212682602533,0.005214731034366853,0.005213091752459805,0.9634962473233653,0.005216081355321945,0.005213287403828961,0.005218414996468717
0.0029100176310264455,0.0029092983151306176,0.9796329594973296,0.002908598945983264,0.002909454882648546,0.0029101499318242457,0.002910455755421057,0.0029090650406360854
0.0032930773259145607,0.003291416506834521,0.0032918082249001833,0.9769566066794183,0.0032912416370943147,0.003292573719007096,0.003291586299331649,0.0032916896074994487
0.00367943293312904,0.0036787966722061976,0.0036813592036953053,0.974240603324927,0.0036791678554703336,0.0036797096877203344,0.003680460354329063,0.0036804699685225573
0.0043150408372944786,0.08793248163406277,0.004314876438114926,0.004315980959183917,0.8861717142301947,0.004316047592841451,0.004317255228762858,0.0043166030795449015
0.005958418813860912,0.005956354082202966,0.9582897677042358,0.005958532378977062,0.005961048904880193,0.005959090425148429,0.005958138388264089,0.005958649302430676
0.004036397785576778,0.004036621037133875,0.004035375649998963,0.004036235641600865,0.004035852372416026,0.004034689674899178,0.9717485800430975,0.0040362477952767956
0.005440540396596035,0.005441963972864397,0.005443968030077703,0.9619082575509978,0.005441661167831799,0.005441659128813983,0.005439586291457749,0.005442363461360504
0.002908866968450073,0.9796381544777396,0.0029085303862824018,0.0029089301949281623,0.002908883910213115,0.00290904981977676,0.0029086695612544036,0.0029089146813554376
0.0015255334169528704,0.0015258922540577501,0.001525589643576308,0.0015254999367335165,0.0015256196783091835,0.9893207827914492,0.0015252552534224348,0.0015258270254988433
0.002910409956045823,0.9796309843855924,0.00290920329993154,0.002909647142591013,0.002910025863416593,0.0029096224911012345,0.0029092699375297742,0.00291083692379174
0.9791469582191383,0.0029793121112595545,0.0029791427176476507,0.002978284969181705,0.002979231178656876,0.002978844793613682,0.0029786039033073432,0.0029796221071948445
0.0025522905401774345,0.0025534139255366205,0.00255317083120238,0.0025537276228432084,0.0025542627600262996,0.982127307552134,0.002552087568780546,0.0025537391992996685
