topic_id,term,weight
0,카톡,77.6999282320692
0,친구,52.46162718036462
0,숏폼,52.21905284825493
0,많이,47.58914342361215
0,다시,44.00307613499734
0,카카오톡,40.772407543589736
0,진짜,40.677785545482365
0,그리고,39.04934514859689
0,업데이트,37.45103273950097
0,광고,35.22448705775969
0,이게,34.010896554435035
0,업데이트를,33.72826968901053
0,그냥,33.351052355729934
0,다른,33.1609058563538
0,기능을,33.053326848777424
0,너무,32.52715316732669
0,하고,30.92471258525012
0,사진,30.4867274234373
0,인스타,30.409392429525152
0,이번_업데이트,28.57984784554061
1,너무,182.67053690499182
1,진짜,155.54614287117388
1,업데이트,137.34987880367447
1,카톡,110.85251313832308
1,그냥,80.10190747578517
1,다른,73.67245666159977
1,제발,72.98196033057516
1,프로필,69.28094293374835
1,이렇게,69.01246224275688
1,카톡이,67.3154622566902
1,정말,63.677902516369336
1,카카오톡,56.95179121785887
1,그리고,54.25502888350107
1,카톡을,52.37472832524425
1,아니,50.07650715429075
1,하는,50.04747627599863
1,있는,49.95504604467259
1,카톡은,49.12087581081045
1,숏폼,47.94582548225009
1,하고,47.69918935306263
2,업데이트,99.40843317084317
2,정말,83.05545950744836
2,인스타,68.01632682541094
2,카톡,60.13949697852047
2,너무,57.47119829327905
2,숏폼,55.528191653549015
2,그리고,53.690189110706
2,그냥,51.082620497832785
2,굳이,49.18024355183475
2,친구,48.221697511286294
2,진짜,47.93972168078531
2,이렇게,46.34171397956614
2,무슨,42.92218233766714
2,카카오톡,41.33129250384858
2,업데이트를,41.22396188619425
2,다른,40.85882154541916
2,좋겠습니다,40.455686478020546
2,점점,37.89582693870899
2,프로필,37.65033049310575
2,이번_업데이트,35.28002429019132
3,진짜,185.0841164058464
3,업데이트,71.62022090036531
3,이렇게,57.80521579590471
3,카톡,48.76422512508689
3,너무,48.53147486819822
3,숏폼,38.87434907534762
3,다른,36.267698803713074
3,다시,33.23983065662786
3,내가,33.209105195179255
3,하고,32.78799064508999
3,카톡이,30.30381709904242
3,그리고,30.095626781159655
3,이번_업데이트는,29.961439390623582
3,카톡을,29.804706637792258
3,업뎃,29.798865260408014
3,친구,28.150982125564102
3,이번_업데이트,27.637329071507033
3,업데이트를,24.89636946383126
3,프로필,23.685258853972908
3,불편하게,23.657751321680124
4,진짜,160.2706528253337
4,업데이트,104.88738306456759
4,다른,86.89873822090108
4,광고,74.36706822452017
4,숏폼,74.02263812907468
4,정말,70.87084753237205
4,굳이,64.62856992660348
4,카톡,61.632533457507826
4,그냥,60.875365763526304
4,너무,58.96302170990306
4,이렇게,50.37317514976728
4,이번_업데이트는,48.50592825439865
4,합니다,44.94762879006019
4,하는,44.85152132219669
4,기능을,44.769859030091474
4,인스타,44.14013001257063
4,프로필,43.21632014100249
4,그리고,43.116165377804805
4,제발,42.582551048245946
4,사진,42.479180760453104
5,업데이트,147.1356237993893
5,카톡,66.35209141474155
5,그냥,55.90649044616061
5,그리고,55.902126157952026
5,인스타,51.73783507750662
5,너무,46.2355753837187
5,다시,41.87159960571954
5,이런,40.72739391367976
5,카톡을,36.22376133306456
5,숏폼,34.59868846775195
5,카카오톡,34.314175665333586
5,계속,33.10647976506378
5,친구,32.07905532782894
5,업데이트를,31.815208754119993
5,이렇게,31.731281140651593
5,기능을,30.770792041608107
5,광고,30.323092884804783
5,같습니다,30.18608812801586
5,정말,29.01712779545227
5,카톡은,28.722484438386743
6,카톡,75.68001611697812
6,업데이트,75.12715525388371
6,너무,59.71397785434343
6,그냥,54.03194107459282
6,다른,52.68082284476405
6,진짜,52.445250632288406
6,숏폼,44.82918994066312
6,프로필,43.541622774105875
6,정말,43.250093188854315
6,내가,41.06311153866629
6,다시,40.99537883915512
6,업데이트를,32.482521381434964
6,하고,31.43606388915705
6,빨리,28.986157518643022
6,이런,28.448029306106626
6,아니라,28.02845477076996
6,이제,27.930077874223468
6,사람,27.871057229907812
6,이번_업데이트,27.501720167092532
6,그리고,26.26877381221867
7,너무,110.88706181821165
7,업데이트,97.02027226774804
7,다시,55.09906579326609
7,이렇게,54.09937411912363
7,카톡,42.87919553674548
7,그냥,42.10530239866237
7,정말,37.8589458803888
7,기능,37.68877974888539
7,내가,37.37658770954308
7,하는,34.183580723253996
7,강제로,33.34781924514554
7,제발,30.894352555882126
7,메신저,30.860936795460034
7,같습니다,29.93781692764751
7,친구,29.60032117415396
7,업데이트를,29.438049233389627
7,계속,29.410567578568514
7,숏폼,28.982064403081182
7,제가,28.971042308428146
7,합니다,28.762601621215317
