topic_0,topic_1,topic_2,topic_3,topic_4,topic_5,topic_6,topic_7
0.005215174098901434,0.005217305088838578,0.005215112210350222,0.9634876091032972,0.005217778088111615,0.00521449789556561,0.005213428537312102,0.005219094977623197
0.0021970241556417084,0.0021954607926573852,0.9846295370123666,0.002195640252445866,0.0021955662088251776,0.0021954203118594727,0.0021955809710171685,0.0021957702951866213
0.9484198605111737,0.00736805707630666,0.007363578832351315,0.0073654410118108565,0.0073714514986422735,0.007367970062543058,0.007373317981990436,0.007370323025181735
0.0050063227944907585,0.005007095319286772,0.005007873685637977,0.9649474190660132,0.005006459471264589,0.005006015577874511,0.00500998623706977,0.005008827848362344
0.004313182963433311,0.004313750843549192,0.004313666270808768,0.0043140939900833545,0.004314676128745367,0.0043139450146738294,0.9698024042061086,0.004314280582597576
0.0035786788740666386,0.003577047969400973,0.003576832258953553,0.0035778073739754033,0.974959327882074,0.0035783845629824315,0.0035771926809989485,0.0035747283975481677
0.9796255315189257,0.002912093941764492,0.002909837654724285,0.0029101597680801904,0.002910294481965623,0.0029102435572443616,0.002910987972953796,0.0029108511043415353
0.007363408942321667,0.007364423074224231,0.9484390332092548,0.00737017626073981,0.007366786914134627,0.007361654614163936,0.0073674137313188386,0.007367103253842107
0.0024071082924045245,0.0024066890202353425,0.0024071594368982444,0.3733827790837384,0.0024068528613309676,0.002407569093530357,0.6121745554919374,0.002407286719924784
0.004634786236411976,0.004635392441927884,0.004637106512248413,0.0046362439422238865,0.0046363494330547116,0.0046390352225609294,0.00463447497169933,0.9675466112398728
0.00219534749841671,0.002196705597217425,0.9846311103987944,0.0021954251188952105,0.0021958072584771613,0.0021953127643473546,0.0021950428169049572,0.0021952485469467625
0.005447017259007251,0.0054453752475676085,0.005438977360584506,0.0054395059124704125,0.9619023871345068,0.005440262079428037,0.005443058048964292,0.005443416957471166
0.005216023376840551,0.00521643983652725,0.005214858467846909,0.005215037516892475,0.005216090256772564,0.005216236310857756,0.9634870715534707,0.00521824268079181
